rank,finalWorth,personName,age,country,city,source,industries,selfMade,gender,birthYear,birthMonth,cpi_country,gdp_country,tertiary_education,primary_education,life_expectancy,total_tax_rate,population_country,latitude,longitude
41,31.6,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,False,M,1951.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
43,31.2,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,True,M,1940.0,6.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
43,31.2,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,True,F,1945.0,3.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
45,30.2,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,True,M,1980.0,2.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
46,29.7,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,True,M,1935.0,4.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
47,29.5,Lee Shau Kee,95.0,Hong Kong,Hong Kong,Real estate,Real Estate,True,M,1928.0,1.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
48,28.5,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,True,M,1958.0,7.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
49,28.1,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,True,M,1938.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
50,27.8,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,True,M,1947.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
51,27.4,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,False,F,1962.0,4.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
52,27.0,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,False,F,1954.0,2.0,119.8,"$1,392,680,589,329 ",113.1,100.3,82.7,47.4,25.766605,-25.274398,133.775136
53,26.7,William Ding,51.0,China,Hangzhou,Online games,Technology,True,M,1971.0,10.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
54,26.6,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,False,M,1953.0,10.0,141.54,"$1,258,286,717,125 ",40.2,105.8,75.0,55.1,126.014024,23.634501,-102.552784
55,25.6,Shiv Nadar,77.0,India,Delhi,software services,Technology,True,M,1945.0,7.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
56,25.5,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,True,M,1948.0,4.0,151.18,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,270.203917,-0.789275,113.921327
57,25.3,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,True,M,1944.0,9.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
58,25.2,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,True,M,1972.0,3.0,114.52,"$421,142,267,938 ",36.8,108.4,77.8,15.9,9.770529,23.424076,53.847818
59,24.6,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,False,M,1966.0,5.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
60,24.4,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,False,F,1970.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
61,24.2,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,False,M,1941.0,1.0,151.18,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,270.203917,-0.789275,113.921327
62,23.7,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,True,M,1961.0,1.0,180.75,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,144.373535,61.52401,105.318756
63,23.5,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,True,M,1964.0,9.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
64,23.4,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,True,M,1942.0,8.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
65,23.1,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,False,F,1943.0,1.0,131.91,"$282,318,159,745 ",88.5,101.4,80.0,34.0,18.952038,-35.675147,-71.542969
65,23.1,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,False,M,1939.0,10.0,151.18,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,270.203917,-0.789275,113.921327
67,22.9,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,True,M,1953.0,1.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
68,22.6,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,False,M,1941.0,5.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
69,22.4,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,True,M,1957.0,8.0,105.48,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,126.226568,36.204824,138.252924
70,22.1,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,True,M,1956.0,5.0,180.75,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,144.373535,61.52401,105.318756
71,22.0,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,False,M,1970.0,9.0,110.05,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,67.059887,46.227638,2.213749
72,21.6,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,False,F,1961.0,12.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
72,21.6,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,True,M,1955.0,8.0,180.75,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,144.373535,61.52401,105.318756
74,21.2,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,False,M,1986.0,9.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
74,21.2,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,True,M,1970.0,10.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
76,21.1,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,True,M,1963.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
77,21.0,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,False,M,1933.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
77,21.0,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,True,M,1945.0,6.0,105.48,"$5,081,769,542,380 ",63.2,98.8,84.2,46.7,126.226568,36.204824,138.252924
79,20.9,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,True,M,1965.0,9.0,180.75,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,144.373535,61.52401,105.318756
80,20.5,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,True,M,1950.0,9.0,180.75,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,144.373535,61.52401,105.318756
81,20.2,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,True,M,1938.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
82,19.6,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,True,M,1961.0,11.0,119.8,"$1,392,680,589,329 ",113.1,100.3,82.7,47.4,25.766605,-25.274398,133.775136
83,19.1,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,True,M,1949.0,8.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
84,19.0,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,True,M,1963.0,6.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
84,19.0,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,True,M,1968.0,3.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
86,18.9,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,False,M,1950.0,6.0,,"$7,184,844,193 ",,,,,0.038964,43.7384176,7.4246158
86,18.9,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,True,M,1965.0,4.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
88,18.7,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,True,M,1966.0,2.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
89,18.5,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,True,M,1945.0,12.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
89,18.5,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,True,M,1957.0,9.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
89,18.5,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,True,M,1952.0,11.0,180.75,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,144.373535,61.52401,105.318756
92,18.0,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,True,M,1962.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
93,17.7,Lakshmi Mittal,72.0,United Kingdom,London,Steel,Metals & Mining,False,M,1950.0,6.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
94,17.5,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,True,M,1956.0,6.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
94,17.5,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,True,M,1936.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
94,17.5,Savitri Jindal & family,73.0,India,Hisar,Steel,Metals & Mining,False,F,1950.0,3.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
97,17.4,Donald Bren,90.0,United States,Newport Beach,Real estate,Real Estate,True,M,1932.0,5.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
97,17.4,"John Menard, Jr.",83.0,United States,Eau Claire,Home improvement stores,Fashion & Retail,True,M,1940.0,1.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
99,17.1,Rupert Murdoch & family,92.0,United States,New York,"Newspapers, TV network",Media & Entertainment,False,M,1931.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
100,16.7,Vicky Safra & family,70.0,Switzerland,Crans-Montana,Banking,Finance & Investments,False,F,1953.0,1.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
101,16.5,"Theo Albrecht, Jr. & family",72.0,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,False,M,1951.0,1.0,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
101,16.5,Renata Kellnerova & family,55.0,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,False,F,1967.0,7.0,116.48,"$246,489,245,495 ",64.1,100.7,79.0,46.1,10.669709,49.817492,15.472962
103,16.3,Li Xiting,72.0,China,Shenzhen,medical devices,Healthcare,True,M,1951.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
104,16.2,Stefan Persson,75.0,Sweden,Stockholm,H&M,Fashion & Retail,False,M,1947.0,10.0,110.51,"$530,832,908,738 ",67.0,126.6,82.5,49.1,10.285453,60.128161,18.643501
104,16.2,Eric Schmidt,67.0,United States,Atherton,Google,Technology,True,M,1955.0,4.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
106,16.0,Michael Platt,55.0,Switzerland,Geneva,Hedge funds,Finance & Investments,True,M,1968.0,3.0,99.55,"$703,082,435,360 ",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
107,15.9,Pang Kang,67.0,China,Foshan,Soy sauce,Food & Beverage,True,M,1956.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
108,15.8,Karl Albrecht Jr. & family,,Germany,,Supermarkets,Fashion & Retail,False,M,,,112.85,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
108,15.8,Beate Heister,,Germany,,Supermarkets,Fashion & Retail,False,F,,,112.85,"$3,845,630,030,824",70.2,104.0,80.9,48.8,83.132799,51.165691,10.451526
108,15.8,Jorge Paulo Lemann & family,83.0,Switzerland,Zurich,Beer,Food & Beverage,True,M,1939.0,8.0,99.55,"$3,845,630,030,824",59.6,105.2,83.6,28.8,8.574832,46.818188,8.227512
108,15.8,Peter Woo,76.0,Hong Kong,Hong Kong,Real estate,Real Estate,False,M,1946.0,9.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
112,15.6,Dilip Shanghvi,67.0,India,Mumbai,Pharmaceuticals,Healthcare,True,M,1955.0,10.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
113,15.5,Robert Pera,45.0,United States,San Jose,Wireless networking,Technology,True,M,1978.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
114,15.3,Radhakishan Damani,68.0,India,Mumbai,"Retail, investments",Fashion & Retail,True,M,1955.0,1.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
115,15.2,Huang Shilin,56.0,China,Ningde,Batteries,Automotive,True,M,1967.0,1.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
116,14.9,Dhanin Chearavanont,83.0,Thailand,Bangkok,Diversified,Diversified,False,M,1939.0,4.0,113.27,"$543,649,976,166 ",49.3,99.8,76.9,29.5,69.625582,15.870032,100.992541
116,14.9,David Green & family,81.0,United States,Oklahoma City,Retail,Fashion & Retail,True,M,1941.0,11.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
118,14.8,Charoen Sirivadhanabhakdi,78.0,Thailand,Bangkok,"Alcohol, real estate",Food & Beverage,True,M,1944.0,5.0,113.27,"$543,649,976,166 ",49.3,99.8,76.9,29.5,69.625582,15.870032,100.992541
119,14.7,Charlene de Carvalho-Heineken & family,68.0,United Kingdom,London,Heineken,Food & Beverage,False,F,1954.0,6.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
120,14.6,Xu Hang,60.0,China,Shenzhen,Medical devices,Healthcare,True,M,1962.0,5.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
121,14.5,Wei Jianjun & family,59.0,China,Baoding,Automobiles,Automotive,True,M,1964.0,3.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
122,14.4,Alisher Usmanov,69.0,Uzbekistan,Tashkent,"Steel, telecom, investments",Metals & Mining,True,M,1953.0,9.0,,"$57,921,286,440 ",10.1,104.2,71.6,31.6,33.58065,41.377491,64.585262
123,14.3,Goh Cheng Liang,95.0,Singapore,Singapore,Paints,Manufacturing,True,M,1927.0,6.0,114.41,"$372,062,527,489 ",84.8,100.6,83.1,21.0,5.703569,1.352083,103.819836
124,14.2,Kumar Birla,55.0,India,Mumbai,Commodities,Diversified,False,M,1967.0,6.0,180.44,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,1366.417754,20.593684,78.96288
124,14.2,Aliko Dangote,65.0,Nigeria,Lagos,"Cement, sugar",Manufacturing,True,M,1957.0,4.0,267.51,"$448,120,428,859 ",10.2,84.7,54.3,34.8,200.963599,9.081999,8.675277
126,14.1,Kwong Siu-hing,93.0,Hong Kong,Hong Kong,Real estate,Real Estate,False,F,1929.0,12.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
127,14.0,Idan Ofer,67.0,United Kingdom,London,Shipping,Diversified,False,M,1955.0,10.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
128,13.9,Chen Bang,57.0,China,Changsha,Hospitals,Healthcare,True,M,1965.0,9.0,125.08,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
128,13.9,Lui Che Woo,94.0,Hong Kong,Hong Kong,Casinos/hotels,Gambling & Casinos,True,M,1929.0,4.0,125.08,"$19,910,000,000,000",50.6,100.2,77.0,59.2,1397.715,35.86166,104.195397
130,13.7,John Fredriksen,78.0,United Kingdom,London,Shipping,Logistics,True,M,1945.0,2.0,119.62,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,66.834405,55.378051,-3.435973
130,13.7,Diane Hendricks,76.0,United States,Afton,Building supplies,Construction & Engineering,True,F,1947.0,3.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
130,13.7,Jan Koum,47.0,United States,Atherton,WhatsApp,Technology,True,M,1976.0,2.0,117.24,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,328.239523,37.09024,-95.712891
